,PMIDs
1345,15921927
1346,11242321
1347,11297894
1348,15289200
1349,7406007
1350,15531624
1351,9400085
1352,18177791
1353,15203777
1354,15937989
1355,15897793
1356,11011459
1357,9245178
1358,16109160
1359,17153820
1360,10623399
1361,7490595
1362,2081243
1363,8238685
1364,17027429
1365,2705425
1366,15485729
1367,10628925
1368,10513763
1369,4086154
1370,2705601
1371,2705601
1372,10901785
1373,12218773
1374,14598924
1375,18174120
1376,18507819
1377,17938061
1378,15778644
1379,12177036
1380,15537429
1381,11744790
1382,16286502
1383,15222889
1384,9431335
1385,8862992
1386,15778644
1387,11377126
1388,15598859
1389,1573368
1390,11207159
1391,11009863
1392,9243440
1393,8606557
1394,11665338
1395,11782286
1396,12940468
1397,15878048
1398,17940861
1399,12615792
1400,8842506
1401,8607394
1402,14720531
1403,8438741
1404,11482924
1405,7642012
1406,10956284
1407,7846939
1408,17916138
1409,14769712
1410,2242519
1411,15255456
1412,16644334
1413,6367096
1414,15321697
1415,12849654
1416,10496434
1417,16935870
1418,15589019
1419,9355903
1420,12919771
1421,11067793
1422,3143539
1423,16620720
1424,7560608
1425,20384650
1426,10898425
1427,8607392
1428,7039195
1429,3289932
1430,15302102
1431,1093559
1432,10966544
1433,1600529
1434,9052343
1435,10569659
1436,15872201
1437,2511744
1438,8607393
1439,4934041
1440,14556870
1441,16828595
1442,17329409
1443,1559321
1444,1951086
1445,12074271
1446,4911757
1447,11457747
1448,11907636
1449,11564387
1450,9425508
1451,10843171
1452,10527181
1453,10663363
1454,16390757
1455,11172164
1456,1926256
1457,12574578
1458,7631339
1459,8203789
1460,1568520
1461,21344797
1462,16846547
1463,8203790
1464,11922398
1465,15037936
1466,3531924
1467,16117981
1468,21472103
1469,11409185
1470,10931020
1471,20041428
1472,7648143
1473,14605954
1474,11598479
1475,16158207
1476,9691101
1477,8968035
1478,10629624
1479,8418243
1480,15738536
1481,18927312
1482,14692022
1483,12954579
1484,6130197
1485,19213681
1486,15026791
1487,18711172
1488,8823335
1489,19237632
1490,21060033
1491,12149294
1492,17944770
1493,18465343
1494,20444845
1495,20362507
1496,10699899
1497,11134190
1498,1825515
1499,11043842
1500,19433387
1501,10447227
1502,11495824
1503,8814691
1504,11461738
1505,12475466
1506,17848651
1507,21182171
1508,3353875
1509,22481696
1510,19541717
1511,2809052
1512,2496240
1513,6885672
1514,12558711
1515,16108924
1516,12510471
1517,3285735
1518,2672899
1519,3900856
1520,3513083
1521,7026707
1522,10503585
1523,17106432
1524,17438255
1525,17960408
1526,1986079
1527,10910540
1528,12091845
1529,2972171
1530,2972167
1531,2142109
1532,10728741
1533,17235556
1534,11840438
1535,15290730
1536,16864918
1537,12416946
1538,11523255
1539,12935395
1540,12102278
1541,9929017
1542,11469522
1543,10513801
1544,15271770
1545,7488280
1546,15026583
1547,11592358
1548,17429636
1549,11550964
1550,11557646
1551,10573044
1552,16511917
1553,2685740
1554,3900904
1555,12965981
1556,8395916
1557,15778874
1558,17589370
1559,17296917
1560,7730690
1561,8697554
1562,8458457
1563,7844217
1564,2311729
1565,8034151
1566,8834961
1567,10147031
1568,8814046
1569,3416147
1570,436049
1571,2867269
1572,1550949
1573,430774
1574,1744753
1575,15992199
1576,16014595
1577,18762532
1578,15607280
1579,16887950
1580,10878141
1581,12415066
1582,16223468
1583,15450766
1584,417428
1585,15936036
1586,20409497
1587,16548939
1588,17483139
1589,11563806
1590,18418793
1591,7563558
1592,15020174
1593,8034816
1594,20363089
1595,9358715
1596,9707377
1597,10373999
1598,17143125
1599,19934280
1600,19339135
1601,18855829
1602,19349629
1603,9357351
1604,16899830
1605,17454714
1606,18048633
1607,14581254
1608,16501756
1609,3998252
1610,3624619
1611,19915080
1612,14503897
1613,12365880
1614,12753879
1615,10896845
1616,19719796
1617,15533544
1618,19392908
1619,11495172
1620,9134070
1621,1601536
1622,10081532
1623,1670783
1624,2394388
1625,730881
1626,14154757
1627,3523
1628,6754634
1629,12591047
1630,8826488
1631,2096204
1632,4206466
1633,11775646
1634,3540764
1635,15580451
1636,11707792
1637,7475687
1638,670488
1639,9066400
1640,8235809
1641,15102427
1642,11483912
1643,16648017
1644,14600055
1645,13763560
1646,7093357
1647,8895239
1648,11464232
1649,321491
1650,14159259
1651,7556834
1652,16642886
1653,11932132
1654,12477673
1655,17234566
1656,1839722
1657,486046
1658,11821495
1659,3812046
1660,10226245
1661,7159348
1662,15213583
1663,9117220
1664,12406527
1665,3516668
1666,6125579
1667,11142547
1668,14000409
1669,7905226
1670,11423594
